inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;4;3;120;902565.7589310005;9.374555753
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;4;3;120;1.0002091028479998e6;35.995786291
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;3;120;481926.57081099926;46.043270080000006
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;4;3;120;650828.2605821997;61.409919666
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;4;3;120;1.088768808036999e6;63.915385299
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;3;120;1.190047178798999e6;92.879865349
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;4;3;120;1.347425458559994e6;94.301843702
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;4;3;120;1.3530722880709965e6;95.43502973400001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;4;120;537921.2144899992;44.957680463
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;4;4;120;685230.4378399998;61.082352475
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;4;4;120;900047.3776080004;10.783547575000002
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;4;4;120;990564.4349289997;44.921441256
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;4;120;480631.27857599873;65.436281123
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;4;4;120;652455.9935349997;75.59951645199999
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;4;4;120;1.0893873052789997e6;92.717150397
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;4;120;1.187226874999999e6;92.40032021
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;4;4;120;1.3462834321599924e6;96.781073543
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;4;4;120;1.3433526486759887e6;94.259913658
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;2;2;120;492284.71935999993;4.226356748000001
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;2;2;120;626237.5575599999;18.007653327
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;2;2;120;818147.0934970006;6.661745829
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;2;2;120;909355.0848020328;9.702352976
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;2;2;120;444554.63506566477;10.185180935000002
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;2;2;120;602146.9431129973;10.122853782
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;2;2;120;1.0202217099449992e6;26.789954699000003
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;2;2;120;1.1165495055816658e6;53.50235767699999
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;2;2;120;1.240845498184498e6;60.879541333
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;2;2;120;1.2633154689794194e6;78.628415574
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;2;3;120;492287.79870299995;16.476315849
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;2;3;120;626384.7608389999;45.939082485
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;2;3;120;816681.3829695;9.520174608
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;2;3;120;909865.0477586663;15.126312966999999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;2;3;120;442072.7516179987;8.243584399
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;2;3;120;600631.2061689998;23.829434118
