inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;3;4;120;503705.9191943333;53.62808387500001
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;3;4;120;474048.55096866615;55.937974436
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;3;4;120;1.187535019034332e6;98.042037614
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;4;2;120;505364.3279436666;43.912753171
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;4;2;120;475262.36306666606;28.767117322000004
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;4;2;120;1.1900824795913287e6;92.834279056
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;4;3;120;503491.0000469999;60.913141112000005
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;4;3;120;473884.8268966662;39.095391537
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;4;3;120;1.1897572679759995e6;91.810448624
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;4;4;120;504588.05885533267;61.281397911
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;4;4;120;475700.4450339982;63.097199520000004
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;4;4;120;1.2010867941923316e6;92.191006474
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;2;2;120;467628.1351623333;16.194317165
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;2;2;120;438621.933666;5.968025944999999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;2;2;120;1.115466613845e6;86.31514061300001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;2;3;120;469630.9607573333;33.208101817999996
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;2;3;120;439676.4773659998;12.467074008
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;2;3;120;1.0857427006963314e6;98.82375702099998
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;2;4;120;462651.6720606666;44.296419256
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;2;4;120;439549.32762599934;23.014046609
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;2;4;120;1.0850503695919998e6;99.087254343
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;3;2;120;467085.1119523331;16.545164994000004
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;3;2;120;438510.55513199774;10.414696532
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;3;2;120;1.092692977355666e6;92.05247928200001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;3;3;120;463931.6018806666;27.873290745
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;3;3;120;439399.8258596662;16.38172507
