instance;form;bestbound;bestsol;gap;time;numnodes
instances/N50T15/N50T15P1W10DD_SF5.dat;3level;221148.33670899985;221148.33670899994;3.948096226701028e-14;1.5579798221588135;1 
instances/N50T15/N50T15P1W10DD_DF1.dat;3level;191211.66914399998;191211.66914399998;0.0;1.1195850372314453;1 
instances/N50T15/N50T15P1W10DD_DF2.dat;3level;208493.24472699995;208493.24472699995;0.0;1.207862138748169;1 
instances/N50T15/N50T15P1W10DD_DF3.dat;3level;213265.23681899998;213265.23681899998;0.0;2.4975638389587402;9 
instances/N50T15/N50T15P1W10DD_DF4.dat;3level;195462.8231239998;195462.82312399987;2.977940253965379e-14;1.8861219882965088;1 
instances/N50T15/N50T15P1W10DD_DF5.dat;3level;211180.32297199988;211180.32297200002;6.890753373029107e-14;2.630516767501831;1 
instances/N50T15/N50T15P1W15SD_SF1.dat;3level;259772.43100699957;259772.43100700004;1.7925739290448075e-13;3.555755138397217;923 
instances/N50T15/N50T15P1W15SD_SF2.dat;3level;254336.3695509998;254336.36955099984;1.1443047059338389e-14;1.6326789855957031;113 
instances/N50T15/N50T15P1W15SD_SF3.dat;3level;199875.17858599997;199875.17858600002;2.9122005706387636e-14;2.4055910110473633;29 
instances/N50T15/N50T15P1W15SD_SF4.dat;3level;244195.21170699998;244195.21170699998;0.0;1.3357939720153809;1 
instances/N50T15/N50T15P1W15SD_SF5.dat;3level;239790.0178699995;239790.01787000004;2.3060708848094316e-13;1.2247819900512695;1 
instances/N50T15/N50T15P1W15SD_DF1.dat;3level;223625.64189699996;223625.64189700002;2.6029063760173504e-14;0.9223301410675049;1 
instances/N50T15/N50T15P1W15SD_DF2.dat;3level;240163.86708299932;240163.8670830002;3.635496564519692e-13;1.8518469333648682;8 
instances/N50T15/N50T15P1W15SD_DF3.dat;3level;220857.96914599993;220857.96914599993;0.0;0.8495829105377197;1 
instances/N50T15/N50T15P1W15SD_DF4.dat;3level;214791.3317969998;214791.3317969999;5.419926439906773e-14;0.6870360374450684;1 
instances/N50T15/N50T15P1W15SD_DF5.dat;3level;215424.4154559998;215424.41545599993;5.4039985013078726e-14;0.7702550888061523;1 
instances/N50T15/N50T15P1W15DD_SF1.dat;3level;226842.41614499982;226842.41614500002;8.980984097211856e-14;1.12015700340271;1 
instances/N50T15/N50T15P1W15DD_SF2.dat;3level;229374.27635899975;229374.2763590001;1.5226030181962942e-13;1.0290660858154297;1 
instances/N50T15/N50T15P1W15DD_SF3.dat;3level;231321.92955699997;231321.92955700017;8.807068728299513e-14;1.0242528915405273;1 
instances/N50T15/N50T15P1W15DD_SF4.dat;3level;225653.90176399992;225653.90176399992;0.0;1.3173828125;1 
instances/N50T15/N50T15P1W15DD_SF5.dat;3level;235710.56406699977;235710.56406699994;7.408364721861436e-14;1.0411150455474854;1 
instances/N50T15/N50T15P1W15DD_DF1.dat;3level;230119.5642409999;230119.5642409999;0.0;0.7100610733032227;1 
