instance;form;bestbound;bestsol;gap;time;numnodes
instances/N50T15/N50T15P1W15DD_DF1.dat;3level;221871.58400999958;221871.58400999996;1.705264771177212e-13;1.237565040588379;1 
instances/N50T15/N50T15P1W15DD_DF2.dat;3level;212820.4171429997;212820.41714299985;6.837649988529542e-14;2.440218925476074;76 
instances/N50T15/N50T15P1W15DD_DF3.dat;3level;217474.69715499986;217474.69715499986;0.0;1.8764541149139404;1 
instances/N50T15/N50T15P1W15DD_DF4.dat;3level;221983.52457199994;221983.52457199997;1.3110806539741162e-14;1.6961989402770996;1 
instances/N50T15/N50T15P1W15DD_DF5.dat;3level;211448.20458799988;211448.20458800002;6.882023546485432e-14;2.652316093444824;1 
instances/N50T15/N50T15P1W20SD_SF1.dat;3level;262787.89062199957;262787.89062200004;1.772004357603969e-13;1.5692260265350342;5 
instances/N50T15/N50T15P1W20SD_SF2.dat;3level;250529.96516499997;250529.96516499997;0.0;0.9653530120849609;1 
instances/N50T15/N50T15P1W20SD_SF3.dat;3level;266171.6158549998;266171.6158549998;0.0;1.1404907703399658;1 
instances/N50T15/N50T15P1W20SD_SF4.dat;3level;257108.39625799994;257108.39625799994;0.0;1.2903599739074707;1 
instances/N50T15/N50T15P1W20SD_SF5.dat;3level;253607.11130999983;253607.1113100002;1.491873764829319e-13;2.1949779987335205;1 
instances/N50T15/N50T15P1W20SD_DF1.dat;3level;256753.01667799996;256753.01667799996;0.0;1.1490809917449951;1 
instances/N50T15/N50T15P1W20SD_DF2.dat;3level;260478.06635099993;260478.06635099993;0.0;0.7486999034881592;1 
instances/N50T15/N50T15P1W20SD_DF3.dat;3level;246276.89623199985;246276.89623199985;0.0;0.7000758647918701;1 
instances/N50T15/N50T15P1W20SD_DF4.dat;3level;266818.3043629999;266818.3043629999;0.0;1.1572039127349854;1 
instances/N50T15/N50T15P1W20SD_DF5.dat;3level;238871.4525659998;238871.45256599982;1.2183888088800548e-14;0.7311770915985107;1 
instances/N50T15/N50T15P1W20DD_SF1.dat;3level;251607.11497599978;251607.11497600007;1.1567173074382185e-13;1.0258610248565674;1 
instances/N50T15/N50T15P1W20DD_SF2.dat;3level;246108.1605919997;246108.16059200012;1.6555876303092257e-13;1.1649770736694336;41 
