instance;bestcost; averagecost; elapsedtime; dptype; dpalpha
instances/N100T15/N100T15P1W10DD_DF4.dat;309239.52563499997;314095.9918302359;0.7352738;1;0.2 
instances/N100T15/N100T15P1W10DD_DF5.dat;310641.078054;315869.563803178;0.744751882;1;0.2 
instances/N100T15/N100T15P1W15SD_SF1.dat;353048.23823499994;361469.7714273121;0.762552358;1;0.2 
instances/N100T15/N100T15P1W15SD_SF2.dat;362243.66964600014;371620.150577812;0.76951824;1;0.2 
instances/N100T15/N100T15P1W15SD_SF3.dat;382887.34378699993;392856.9433142524;0.783324853;1;0.2 
instances/N100T15/N100T15P1W15SD_SF4.dat;362772.7756639999;370721.49841038376;0.804398245;1;0.2 
instances/N100T15/N100T15P1W15SD_SF5.dat;369639.973095;379588.8468864258;0.762568162;1;0.2 
instances/N100T15/N100T15P1W15SD_DF1.dat;326198.034322;330149.5753911159;0.761470492;1;0.2 
instances/N100T15/N100T15P1W15SD_DF2.dat;342230.095765;348132.3474227741;0.756272142;1;0.2 
instances/N100T15/N100T15P1W15SD_DF3.dat;345557.27398299996;349276.7351516281;0.771966753;1;0.2 
instances/N100T15/N100T15P1W15SD_DF4.dat;336795.88729100005;340661.7528660739;0.766321333;1;0.2 
instances/N100T15/N100T15P1W15SD_DF5.dat;318410.12434;321217.52437369584;0.773095;1;0.2 
instances/N100T15/N100T15P1W15DD_SF1.dat;362903.58557800006;368841.90168753994;0.78006342;1;0.2 
instances/N100T15/N100T15P1W15DD_SF2.dat;343802.425924;350775.07545744226;0.758014374;1;0.2 
instances/N100T15/N100T15P1W15DD_SF3.dat;360137.630733;368847.3550273859;0.773824499;1;0.2 
instances/N100T15/N100T15P1W15DD_SF4.dat;366397.766978;374130.15373226395;0.766974408;1;0.2 
instances/N100T15/N100T15P1W15DD_SF5.dat;351123.826812;357370.6915115663;0.77241206;1;0.2 
instances/N100T15/N100T15P1W15DD_DF1.dat;338359.153703;341720.1408709841;0.784071516;1;0.2 
instances/N100T15/N100T15P1W15DD_DF2.dat;345540.747811;349700.0040348021;0.741465562;1;0.2 
instances/N100T15/N100T15P1W15DD_DF3.dat;347835.58458299993;355643.6893526581;0.758707763;1;0.2 
instances/N100T15/N100T15P1W15DD_DF4.dat;328014.582437;332122.51447349467;0.759915717;1;0.2 
instances/N100T15/N100T15P1W15DD_DF5.dat;344572.699438;348955.1193226901;0.759945702;1;0.2 
instances/N100T15/N100T15P1W20SD_SF1.dat;384975.96312300005;393667.0367826422;0.796810917;1;0.2 
instances/N100T15/N100T15P1W20SD_SF2.dat;386817.8312410001;395860.2173660023;0.810561105;1;0.2 
instances/N100T15/N100T15P1W20SD_SF3.dat;359568.089667;369585.58600508404;0.789111236;1;0.2 
instances/N100T15/N100T15P1W20SD_SF4.dat;395247.32027100003;404280.85811732634;0.828413959;1;0.2 
instances/N100T15/N100T15P1W20SD_SF5.dat;397842.5406159999;406386.0616428899;0.771323948;1;0.2 
instances/N100T15/N100T15P1W20SD_DF1.dat;364263.788651;368507.83396742214;0.7847467;1;0.2 
instances/N100T15/N100T15P1W20SD_DF2.dat;371174.98604999995;378624.06759285356;0.781821749;1;0.2 
instances/N100T15/N100T15P1W20SD_DF3.dat;361234.21160399995;364192.8949217579;0.772629834;1;0.2 
instances/N100T15/N100T15P1W20SD_DF4.dat;366810.1055350001;370640.41229452204;0.780381;1;0.2 
instances/N100T15/N100T15P1W20SD_DF5.dat;384070.5152899999;386719.28543638194;0.781522213;1;0.2 
instances/N100T15/N100T15P1W20DD_SF1.dat;373368.979033;383128.11175260966;0.792920563;1;0.2 
instances/N100T15/N100T15P1W20DD_SF2.dat;402916.99262499996;408862.4548970783;0.772485516;1;0.2 
instances/N100T15/N100T15P1W20DD_SF3.dat;391424.90369199996;397774.6048268162;0.778565081;1;0.2 
instances/N100T15/N100T15P1W20DD_SF4.dat;388241.638693;394987.9153387922;0.759501663;1;0.2 
instances/N100T15/N100T15P1W20DD_SF5.dat;370870.27820100007;378612.77347133425;0.778237966;1;0.2 
instances/N100T15/N100T15P1W20DD_DF1.dat;350992.83749600005;354861.78581145796;0.749820433;1;0.2 
instances/N100T15/N100T15P1W20DD_DF2.dat;378700.951531;384562.1549222297;0.775882322;1;0.2 
