instance;bestcost; averagecost; elapsedtime; dptype; dpalpha
instances/N50T15/N50T15P1W10SD_DF5.dat;212002.60214;213405.27946464208;0.532535973;1;0.2 
instances/N50T15/N50T15P1W10DD_SF1.dat;200158.847255;203486.94227873802;0.545380216;1;0.2 
instances/N50T15/N50T15P1W10DD_SF2.dat;197210.67615299998;199822.09472168208;0.548979745;1;0.2 
instances/N50T15/N50T15P1W10DD_SF3.dat;205773.480577;207791.25496795433;0.542063651;1;0.2 
instances/N50T15/N50T15P1W10DD_SF4.dat;211070.218156;212257.1865548658;0.536303743;1;0.2 
instances/N50T15/N50T15P1W10DD_SF5.dat;210542.227009;212813.60918696006;0.53524168;1;0.2 
instances/N50T15/N50T15P1W10DD_DF1.dat;190294.55956900003;192765.21271281998;0.553234674;1;0.2 
instances/N50T15/N50T15P1W10DD_DF2.dat;206619.646405;208231.41899437798;0.545697956;1;0.2 
instances/N50T15/N50T15P1W10DD_DF3.dat;213030.772921;214368.11551309604;0.537255433;1;0.2 
instances/N50T15/N50T15P1W10DD_DF4.dat;194670.186391;195834.2203829281;0.530002375;1;0.2 
instances/N50T15/N50T15P1W10DD_DF5.dat;213539.39810100003;214538.63620086797;0.544027558;1;0.2 
instances/N50T15/N50T15P1W15SD_SF1.dat;260988.758571;263633.188859896;0.572443846;1;0.2 
instances/N50T15/N50T15P1W15SD_SF2.dat;261465.60385400002;264689.199516846;0.552006857;1;0.2 
instances/N50T15/N50T15P1W15SD_SF3.dat;205860.92321400007;209120.14674286213;0.538815424;1;0.2 
instances/N50T15/N50T15P1W15SD_SF4.dat;240781.52211999998;243003.80687094806;0.561022942;1;0.2 
instances/N50T15/N50T15P1W15SD_SF5.dat;233733.36855;235819.34631847186;0.544786764;1;0.2 
instances/N50T15/N50T15P1W15SD_DF1.dat;226951.86464099993;228130.98305110203;0.559072249;1;0.2 
instances/N50T15/N50T15P1W15SD_DF2.dat;242546.90149799996;244063.9563890283;0.566235745;1;0.2 
instances/N50T15/N50T15P1W15SD_DF3.dat;222004.20211499996;223296.36362534206;0.55786415;1;0.2 
instances/N50T15/N50T15P1W15SD_DF4.dat;215819.787265;217851.85821759998;0.549198664;1;0.2 
instances/N50T15/N50T15P1W15SD_DF5.dat;213647.63888199997;215198.9416786301;0.549195923;1;0.2 
instances/N50T15/N50T15P1W15DD_SF1.dat;224076.611951;226125.16526260984;0.561132566;1;0.2 
instances/N50T15/N50T15P1W15DD_SF2.dat;231900.062347;235166.44266958188;0.544169568;1;0.2 
instances/N50T15/N50T15P1W15DD_SF3.dat;230766.473856;232915.89691766186;0.551509289;1;0.2 
instances/N50T15/N50T15P1W15DD_SF4.dat;224145.325624;227052.965308264;0.553222349;1;0.2 
instances/N50T15/N50T15P1W15DD_SF5.dat;231940.656264;233954.01352857193;0.55207812;1;0.2 
instances/N50T15/N50T15P1W15DD_DF1.dat;229919.043237;231197.02906375012;0.553135762;1;0.2 
instances/N50T15/N50T15P1W15DD_DF2.dat;219964.16415199998;222083.21437310593;0.548150589;1;0.2 
instances/N50T15/N50T15P1W15DD_DF3.dat;225887.139028;227925.47353399222;0.556393801;1;0.2 
instances/N50T15/N50T15P1W15DD_DF4.dat;231243.08526700002;233282.850680352;0.565280906;1;0.2 
instances/N50T15/N50T15P1W15DD_DF5.dat;219629.173994;220992.04050069008;0.538466662;1;0.2 
instances/N50T15/N50T15P1W20SD_SF1.dat;273181.975037;277702.52896447404;0.583004745;1;0.2 
instances/N50T15/N50T15P1W20SD_SF2.dat;260312.16067100002;261897.2184331341;0.581896376;1;0.2 
instances/N50T15/N50T15P1W20SD_SF3.dat;278448.962266;281426.84363078605;0.562829071;1;0.2 
instances/N50T15/N50T15P1W20SD_SF4.dat;263441.49655900005;265513.3419315322;0.575452117;1;0.2 
instances/N50T15/N50T15P1W20SD_SF5.dat;262305.74326899997;264436.6145675159;0.566768986;1;0.2 
instances/N50T15/N50T15P1W20SD_DF1.dat;264654.612588;266552.88538259815;0.591132569;1;0.2 
instances/N50T15/N50T15P1W20SD_DF2.dat;269601.320591;272441.424518326;0.566154585;1;0.2 
instances/N50T15/N50T15P1W20SD_DF3.dat;253176.932644;255082.48716272594;0.571796089;1;0.2 
instances/N50T15/N50T15P1W20SD_DF4.dat;274076.22469899995;276039.4941551399;0.590046256;1;0.2 
instances/N50T15/N50T15P1W20SD_DF5.dat;245753.998839;246807.25142011407;0.571759738;1;0.2 
instances/N50T15/N50T15P1W20DD_SF1.dat;259072.80118200002;261719.80395337206;0.578613734;1;0.2 
instances/N50T15/N50T15P1W20DD_SF2.dat;253130.80534199998;255263.4738165998;0.56445793;1;0.2 
instances/N50T15/N50T15P1W20DD_SF3.dat;249739.570623;253100.6341264898;0.573223204;1;0.2 
instances/N50T15/N50T15P1W20DD_SF4.dat;265804.976624;269110.52524209814;0.582359754;1;0.2 
instances/N50T15/N50T15P1W20DD_SF5.dat;260075.725517;261073.66287618427;0.564333588;1;0.2 
instances/N50T15/N50T15P1W20DD_DF1.dat;256562.045365;258915.9321424239;0.578588998;1;0.2 
instances/N50T15/N50T15P1W20DD_DF2.dat;259288.496047;261136.83971837995;0.593526342;1;0.2 
instances/N50T15/N50T15P1W20DD_DF3.dat;260982.35294799999;263118.24623262393;0.559583223;1;0.2 
instances/N50T15/N50T15P1W20DD_DF4.dat;243383.350664;245370.23445130995;0.578099338;1;0.2 
instances/N50T15/N50T15P1W20DD_DF5.dat;255354.81805700003;257242.76504729188;0.579895984;1;0.2 
