instance;form;heursol;bestbound;bestsol;gap;time;numnodes;percfixed
instances/N100T30/N100T30P1W5DD_SF3.dat;randdpheurmc;496810.607328;472721.47077899973;472721.47077899973;0.0;172.33678603172302;0;75.12413793103448 
instances/N100T30/N100T30P1W5DD_SF4.dat;randdpheurmc;484071.5072299999;456691.51320000016;456691.5132000003;2.549101931218781e-14;212.12204098701477;23;74.47816091954023 
instances/N100T30/N100T30P1W5DD_SF5.dat;randdpheurmc;522263.970307;494459.27474999975;494459.27474999975;0.0;303.404070854187;14;65.48965517241379 
instances/N100T30/N100T30P1W5DD_DF1.dat;randdpheurmc;503594.9188410001;474299.00369599997;474299.00369599997;0.0;43.441307067871094;0;79.19540229885057 
instances/N100T30/N100T30P1W5DD_DF2.dat;randdpheurmc;495610.573047;466422.1007399997;466422.10074;7.487766229917273e-14;33.6887149810791;0;75.62988505747127 
instances/N100T30/N100T30P1W5DD_DF3.dat;randdpheurmc;494757.36287500005;464911.9132770001;464911.9132770001;0.0;36.25128698348999;0;74.6183908045977 
instances/N100T30/N100T30P1W5DD_DF4.dat;randdpheurmc;502253.35873400007;469754.50093800004;469754.50093800004;0.0;22.050987005233765;0;76.59770114942529 
instances/N100T30/N100T30P1W5DD_DF5.dat;randdpheurmc;496084.34452599986;466061.34802000003;466061.34802000003;0.0;35.72719216346741;0;76.70344827586207 
instances/N100T30/N100T30P1W10SD_SF1.dat;randdpheurmc;635038.206585;596249.5238700003;596249.5238700003;0.0;904.404944896698;432;63.37011494252873 
instances/N100T30/N100T30P1W10SD_SF2.dat;randdpheurmc;617307.7859550004;581336.5796430005;581336.5796430005;0.0;480.5996341705322;334;64.60689655172413 
instances/N100T30/N100T30P1W10SD_SF3.dat;randdpheurmc;584657.1688909996;542760.8251139993;542760.8251139993;0.0;598.3533089160919;29;58.98390804597701 
instances/N100T30/N100T30P1W10SD_SF4.dat;randdpheurmc;599393.626476;564958.6067139967;564958.6067139994;4.73937801849431e-13;552.7617180347443;13;62.43448275862069 
instances/N100T30/N100T30P1W10SD_SF5.dat;randdpheurmc;586660.9443100002;555268.0567379995;555268.0567379995;0.0;534.3380889892578;287;59.8735632183908 
instances/N100T30/N100T30P1W10SD_DF1.dat;randdpheurmc;552300.748599;524180.3096850003;524180.3096850003;0.0;33.097413063049316;0;73.69885057471265 
instances/N100T30/N100T30P1W10SD_DF2.dat;randdpheurmc;554474.3956209999;522245.9047329994;522245.9047329998;7.801949669717066e-14;52.239882946014404;0;71.39310344827587 
instances/N100T30/N100T30P1W10SD_DF3.dat;randdpheurmc;583467.3962880003;541775.8923609981;541775.8923610003;4.082668029159771e-13;83.03728199005127;1;71.90574712643678 
instances/N100T30/N100T30P1W10SD_DF4.dat;randdpheurmc;574985.9967379996;537004.4560459999;537004.4560460001;4.33573019799905e-14;272.4584939479828;3;68.77011494252874 
instances/N100T30/N100T30P1W10SD_DF5.dat;randdpheurmc;560604.0283469995;523439.14790899935;523439.14790899935;0.0;255.60227704048157;7;68.91724137931034 
instances/N100T30/N100T30P1W10DD_SF1.dat;randdpheurmc;608114.9755310001;572997.9763899996;572997.9763899996;0.0;492.23978996276855;5;72.39540229885057 
instances/N100T30/N100T30P1W10DD_SF2.dat;randdpheurmc;630712.3146819999;596704.8395859996;596704.8395859996;0.0;605.3095769882202;15;70.77471264367816 
instances/N100T30/N100T30P1W10DD_SF3.dat;randdpheurmc;653761.699639;608078.134187;608078.134187;0.0;870.1956160068512;15;76.27816091954023 
instances/N100T30/N100T30P1W10DD_SF4.dat;randdpheurmc;594467.0528160001;559366.1538979998;559366.153898;4.162401354307292e-14;574.2076818943024;7;75.42528735632183 
instances/N100T30/N100T30P1W10DD_SF5.dat;randdpheurmc;635101.8611089998;592254.5427759995;592254.5427759999;5.896889601620073e-14;803.7377038002014;11;63.46896551724138 
instances/N100T30/N100T30P1W10DD_DF1.dat;randdpheurmc;576080.0700749999;536742.5519470001;536742.5519470001;0.0;25.185659885406494;0;79.40689655172413 
instances/N100T30/N100T30P1W10DD_DF2.dat;randdpheurmc;566869.7041160001;526146.0772269998;526146.0772269998;0.0;30.421658992767334;0;77.86436781609196 
instances/N100T30/N100T30P1W10DD_DF3.dat;randdpheurmc;575573.359583;541091.1913229999;541091.191323;2.1514917206893066e-14;37.439826011657715;0;73.24367816091954 
instances/N100T30/N100T30P1W10DD_DF4.dat;randdpheurmc;574645.7536599999;536524.352675;536524.3526750001;2.169804991078447e-14;39.35113501548767;0;77.83218390804598 
instances/N100T30/N100T30P1W10DD_DF5.dat;randdpheurmc;580162.4591319999;548893.1643669999;548893.1643669999;0.0;54.787585973739624;0;78.34252873563219 
instances/N100T30/N100T30P1W15SD_SF1.dat;randdpheurmc;635266.4198049997;591664.5536420001;591664.5536420001;0.0;1273.7355480194092;21;63.0 
instances/N100T30/N100T30P1W15SD_SF2.dat;randdpheurmc;646636.460125;608356.9345319994;608356.9345319994;0.0;1092.4370529651642;1023;61.96551724137931 
instances/N100T30/N100T30P1W15SD_SF3.dat;randdpheurmc;711210.41268;663813.5235500021;663813.6352299995;1.682399870753806e-5;1064.0292999744415;89;61.46436781609196 
instances/N100T30/N100T30P1W15SD_SF4.dat;randdpheurmc;666304.639366;624935.273205;624935.273205;0.0;717.8570899963379;307;65.1264367816092 
instances/N100T30/N100T30P1W15SD_SF5.dat;randdpheurmc;625913.0319869996;585333.0883749994;585333.0883750002;1.3922111511769933e-13;661.7505729198456;19;60.827586206896555 
instances/N100T30/N100T30P1W15SD_DF1.dat;randdpheurmc;653182.2942880002;613736.1662329995;613736.1662330007;1.896830075070703e-13;569.8177881240845;3;75.95172413793104 
instances/N100T30/N100T30P1W15SD_DF2.dat;randdpheurmc;618044.5620710003;573917.0464930001;573917.0464930001;0.0;32.96295714378357;0;73.35632183908046 
instances/N100T30/N100T30P1W15SD_DF3.dat;randdpheurmc;625830.3211439997;577448.982076998;577448.9820769986;1.0080139149973571e-13;45.44842600822449;0;69.23908045977012 
instances/N100T30/N100T30P1W15SD_DF4.dat;randdpheurmc;605014.9579859998;564655.1170869999;564655.1170870005;1.0308533324510531e-13;50.87958598136902;0;70.3287356321839 
