instance,form_x,cap,capw,capr,T,W,R,bestbound,bestsol,gap,time,nodes,opt,form_y,bal,fixsizerf,freeintervalrf,maxtimerf,bestsolrf,timerf,fixsizefo,freeintervalfo,minroundsfo,maxtimefo,incfixfo,inchorfo,bestsolfo,timefo,rounds,gap_rffo,impr_fo_rf,impr_rffo_esls,dif,#inst<=,#inst<
instances/N100T15/N100T15P1W15DD_SF3.dat,esls,1.75,0.0,1.5,15.0,15.0,100.0,617815.5278423333,617815.5278423333,0.0,119.447900056839,7936.0,1.0,rffoesls,1.0,3.0,2.0,60.0,619037.18504,39.680000027,3.0,2.0,2.0,600.0,0.0,1.0,617815.5278423333,600.009891154,16.0,0.0,0.19734795052542192,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF4.dat,esls,1.75,0.0,1.5,15.0,15.0,100.0,667819.2853375272,667890.2525156667,0.0106255747665402,600.0144040584564,93093.0,0.0,rffoesls,1.0,3.0,2.0,60.0,668974.0297193327,33.309532054,3.0,2.0,2.0,600.0,0.0,1.0,667890.2525156667,600.0056388639998,14.0,0.010625574766540207,0.16200587100828767,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF5.dat,esls,1.75,0.0,1.5,15.0,15.0,100.0,595026.2764266666,595026.2764266666,0.0,289.2278480529785,35316.0,1.0,rffoesls,1.0,3.0,2.0,60.0,596687.8409986666,41.67166434599999,3.0,2.0,2.0,600.0,0.0,1.0,595026.2764266666,600.007377425,16.0,0.0,0.27846462720256066,0.0,0.0,1.0,0.0
instances/N200T15/N200T15P1W20DD_SF1.dat,esls,1.75,0.0,1.75,15.0,20.0,200.0,821539.7970748448,841976.7459853329,2.4272581170364127,600.0182960033417,3172.0,0.0,rffoesls,1.0,3.0,2.0,60.0,844065.7427846666,56.092364526,3.0,2.0,2.0,600.0,0.0,1.0,841890.9474883333,599.941544728,7.0,2.417314317751412,0.25765709779410945,0.010190126676139773,85.79849699954502,1.0,1.0
instances/N200T15/N200T15P1W20DD_SF2.dat,esls,1.75,0.0,1.75,15.0,20.0,200.0,842207.2989348713,862377.6346579986,2.338921478538388,600.0048449039459,3192.0,0.0,rffoesls,1.0,3.0,2.0,60.0,869111.628374,53.909373134000006,3.0,2.0,2.0,600.0,0.0,1.0,862102.7781690003,600.0242414449999,9.0,2.3077850736526444,0.8064384339342421,0.031871940777694605,274.85648899828084,1.0,1.0
instances/N200T15/N200T15P1W20DD_SF3.dat,esls,1.75,0.0,1.75,15.0,20.0,200.0,816103.4538061771,825363.6881489995,1.121958050225082,600.0288698673248,3139.0,0.0,rffoesls,1.0,3.0,2.0,60.0,833388.2838434833,57.65764891,3.0,2.0,2.0,600.0,0.0,1.0,825371.3994020002,600.007943132,8.0,1.1228818447716922,0.9619627005685983,-0.0009342854685146359,-7.711253000772558,0.0,0.0
instances/N200T15/N200T15P1W20DD_SF4.dat,esls,1.75,0.0,1.75,15.0,20.0,200.0,752796.8419179139,757082.1260529996,0.5660263249677845,600.005805015564,3293.0,0.0,rffoesls,1.0,3.0,2.0,60.0,758045.7208639998,55.233454426,3.0,2.0,2.0,600.0,0.0,1.0,757609.8871449998,600.0121961159999,9.0,0.635293349354714,0.05749438417820446,-0.06970988666072792,-527.7610920001753,0.0,0.0
instances/N200T15/N200T15P1W20DD_SF5.dat,esls,1.75,0.0,1.75,15.0,20.0,200.0,857911.1526025492,860233.3241059991,0.2699467038042536,600.0071561336517,4602.0,0.0,rffoesls,1.0,3.0,2.0,60.0,861750.6513169999,59.333780484,3.0,2.0,2.0,600.0,0.0,1.0,860141.0583540002,600.0105226439999,11.0,0.2592488441045089,0.1867817518373553,0.010725665864521014,92.26575199887156,1.0,1.0
instances/N50T30/N50T30P1W20DD_SF1.dat,esls,1.75,0.0,1.5,30.0,20.0,50.0,1019340.9549485432,1049565.9363076654,2.87976012878739,600.0127649307251,4733.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1061608.7747039986,59.31551308500001,3.0,2.0,2.0,600.0,0.0,1.0,1049987.8266693333,600.021120378,9.0,2.9187835270438325,1.0946544821001039,-0.040196651498812776,-421.89036166784354,0.0,0.0
instances/N50T30/N50T30P1W20DD_SF2.dat,esls,1.75,0.0,1.5,30.0,20.0,50.0,1220383.9301100585,1260418.2336193337,3.176271370996859,600.0057480335236,5649.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1269726.2632213323,56.29201000699999,3.0,2.0,2.0,600.0,0.0,1.0,1259936.4290556666,600.0104993739999,8.0,3.1392456026732227,0.7710192699982982,0.03822576909916967,481.8045636671595,1.0,1.0
instances/N50T30/N50T30P1W20DD_SF3.dat,esls,1.75,0.0,1.5,30.0,20.0,50.0,963080.6401787658,991702.2874059988,2.886112857730616,600.0099310874939,5862.0,0.0,rffoesls,1.0,3.0,2.0,60.0,996735.25607,52.168602141,3.0,2.0,2.0,600.0,0.0,1.0,991855.4387329991,599.69656201,7.0,2.9011081081523793,0.4895800873184075,-0.015443276570526786,-153.15132700034883,0.0,0.0
instances/N50T30/N50T30P1W20DD_SF4.dat,esls,1.75,0.0,1.5,30.0,20.0,50.0,1129667.0553346842,1166363.0073703327,3.146186204789086,600.0173990726471,4881.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1177978.784663,56.672650869,3.0,2.0,2.0,600.0,0.0,1.0,1168088.099264667,600.007519473,10.0,3.28922484135995,0.8396318785284888,-0.14790351575223157,-1725.0918943341821,0.0,0.0
instances/N50T30/N50T30P1W20DD_SF5.dat,esls,1.75,0.0,1.5,30.0,20.0,50.0,1033081.499351396,1064243.8313226665,2.9281195769339,600.01420378685,3766.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1068652.0315589998,58.58532285100001,3.0,2.0,2.0,600.0,0.0,1.0,1064892.998215333,600.0077968300001,11.0,2.987295335517312,0.3517546621965285,-0.06099794742148546,-649.1668926666025,0.0,0.0
instances/N50T30/N50T30P1W15DD_SF1.dat,esls,1.75,0.0,1.5,30.0,15.0,50.0,997440.6714736696,1031643.620539666,3.3153841486563405,600.008887052536,6437.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1032748.455456,56.113369402,3.0,2.0,2.0,600.0,0.0,1.0,1030952.3335790004,600.0078851,12.0,3.250553979444763,0.17391668489172993,0.06700831051560045,691.2869606656022,1.0,1.0
instances/N50T30/N50T30P1W15DD_SF2.dat,esls,1.75,0.0,1.5,30.0,15.0,50.0,1042860.9211271198,1079462.0015903325,3.390677986746141,600.006129026413,6656.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1079799.1901906666,56.600155538,3.0,2.0,2.0,600.0,0.0,1.0,1077796.4466106647,600.0090537659999,11.0,3.241384362827165,0.18547370642575087,0.154294915171999,1665.554979667766,1.0,1.0
